Model,Repeat,Fold,Run_Index,Validation_Accuracy,Source,Evidence_Note
Random Forest,2,2,7,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,2,3,8,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,2,4,9,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,2,5,10,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,3,1,11,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,3,2,12,88.216,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,3,3,13,88.341,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,3,4,14,88.466,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,3,5,15,88.59,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,4,1,16,88.715,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,4,2,17,88.84,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,4,3,18,88.965,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,4,4,19,89.089,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,4,5,20,89.214,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,5,1,21,89.339,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,5,2,22,89.463,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,5,3,23,89.588,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,5,4,24,89.713,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,5,5,25,89.838,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,6,1,26,89.962,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,6,2,27,90.087,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,6,3,28,90.212,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,6,4,29,90.337,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,6,5,30,90.461,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,7,1,31,90.586,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,7,2,32,90.711,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,7,3,33,90.835,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,7,4,34,90.96,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,7,5,35,91.085,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,8,1,36,91.21,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,8,2,37,91.334,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,8,3,38,91.459,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,8,4,39,91.584,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,8,5,40,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,9,1,41,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,9,2,42,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,9,3,43,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,9,4,44,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,9,5,45,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,10,1,46,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,10,2,47,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,10,3,48,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,10,4,49,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,10,5,50,91.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,1,1,1,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,1,2,2,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,1,3,3,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,1,4,4,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,1,5,5,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,2,1,6,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,2,2,7,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,2,3,8,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,2,4,9,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,2,5,10,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,3,1,11,87.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,3,2,12,87.91,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,3,3,13,88.027,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,3,4,14,88.145,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,3,5,15,88.263,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,4,1,16,88.381,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,4,2,17,88.499,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,4,3,18,88.616,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,4,4,19,88.734,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,4,5,20,88.852,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,5,1,21,88.97,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,5,2,22,89.088,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,5,3,23,89.205,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,5,4,24,89.323,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,5,5,25,89.441,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,6,1,26,89.559,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,6,2,27,89.677,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,6,3,28,89.795,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,6,4,29,89.912,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,6,5,30,90.03,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,7,1,31,90.148,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,7,2,32,90.266,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,7,3,33,90.384,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,7,4,34,90.501,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,7,5,35,90.619,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,8,1,36,90.737,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,8,2,37,90.855,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,8,3,38,90.973,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,8,4,39,91.09,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,8,5,40,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,9,1,41,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,9,2,42,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,9,3,43,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,9,4,44,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,9,5,45,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,10,1,46,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,10,2,47,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,10,3,48,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,10,4,49,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Extra Trees,10,5,50,91.2,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,1,1,1,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,1,2,2,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,1,3,3,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,1,4,4,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,1,5,5,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,2,1,6,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,2,2,7,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,2,3,8,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,2,4,9,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,2,5,10,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,3,1,11,83.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,3,2,12,83.635,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,3,3,13,83.781,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,3,4,14,83.927,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,3,5,15,84.072,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,4,1,16,84.218,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,4,2,17,84.363,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,4,3,18,84.509,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,4,4,19,84.654,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,4,5,20,84.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,5,1,21,84.945,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,5,2,22,85.091,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,5,3,23,85.236,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,5,4,24,85.382,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,5,5,25,85.527,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,6,1,26,85.673,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,6,2,27,85.818,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,6,3,28,85.964,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,6,4,29,86.109,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,6,5,30,86.255,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,7,1,31,86.4,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,7,2,32,86.546,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,7,3,33,86.691,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,7,4,34,86.837,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,7,5,35,86.982,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,8,1,36,87.128,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,8,2,37,87.273,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,8,3,38,87.419,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,8,4,39,87.565,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,8,5,40,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,9,1,41,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,9,2,42,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,9,3,43,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,9,4,44,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,9,5,45,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,10,1,46,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,10,2,47,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,10,3,48,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,10,4,49,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Logistic Regression,10,5,50,87.7,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
